"","geoid","name","variable","estimate"
"145","54","West Virginia","pop_housed",1788621
"146","54","West Virginia","pop_renter",458746
"147","54","West Virginia","median_rent",681
"148","55","Wisconsin","pop_housed",5615789
"149","55","Wisconsin","pop_renter",1673549
"150","55","Wisconsin","median_rent",813
"151","56","Wyoming","pop_housed",569009
"152","56","Wyoming","pop_renter",165545
"153","56","Wyoming","median_rent",828
"154","72","Puerto Rico","pop_housed",3429847
"155","72","Puerto Rico","pop_renter",1040651
"156","72","Puerto Rico","median_rent",464
